"","country","cropsuit","market","Nt_area","yield","manure_area","netcap14_area","weight"
"1","Albania",43.39644344,3704.790476,0.033112582781457,46238238.218543,225.118972516556,0.0104901274834437,"1"
"2","Algeria",41.87419646,2764.443498,0.007039941990878,14958664.3473789,16.2610799975008,0.00134351511343547,"1"
"3","Argentina",55.98132736,1798.839226,0.0208001618820517,45213468.741024,6.14959996164421,0.00101329083588982,"4"
"4","Australia",34.39855154,5323.713368,0.0379049053139254,29277569.324342,7.67826973827746,0.00498750267791878,"4"
"5","Azerbaijan",25.67930172,3135.51489,0.00487777584898406,32001298.8681552,16.0372830071201,0.00587081612363153,"1"
"6","Bangladesh",65.05402331,453.6634146,0.0834906077393365,46729353.1551198,16.7305418991834,0.00107406646379106,"4"
"7","Bolivia_(Plurinational_State_of)",37.65271672,389.7105322,0.00455673101270751,25148926.0291527,29.0194785773078,0.00083622935699911,"1"
"8","Brazil",37.46278576,874.8070531,0.0355728434942505,51775411.5682132,31.8423389343182,0.00175893852210671,"4"
"9","Cambodia",55.34789973,353.1302605,0.00499933832286903,25487204.9515564,28.5340825871086,0.00042651002073255,"1"
"10","Canada",52.90569057,6632.006585,0.0727041496454442,43005881.0193016,11.0964366222929,0.00172619728759278,"4"
"11","Chile",50.55634595,1766.421086,0.1412019117396,82787207.3808506,233.596478611926,0.0216642652697576,"4"
"12","China,_mainland",54.92953288,1661.629198,0.13737425738758,64698394.8053782,42.1771461144666,0.00196263748473473,"4"
"13","Colombia",37.82340166,1615.282682,0.0577943384909786,61341875.1165328,140.533377601697,0.00509441218129952,"1"
"14","Costa_Rica",59.11021155,3133.77,0.107488765137048,75788931.4169764,150.460851048015,0.0110867325702393,"1"
"15","Dominican_Republic",55.50645739,3466.064348,0.0922291065600908,48743019.7490017,98.4586391983838,0.00846499584462267,"1"
"16","Ecuador",41.67266981,711.0737179,0.050952191032063,37771758.7374434,69.5283888477953,0.00489672772730387,"1"
"17","Egypt",33.72700312,3125.35044,0.21492412031771,97663645.5292961,8.35404128283724,0.00844420024147381,"4"
"18","El_Salvador",50.91787733,4761.958848,0.076185375178343,41539231.0259261,38.5480085373793,0.00854478684255484,"1"
"19","Ethiopia",48.10677865,47.8697192,0.0094655437063857,18587024.1032731,10.0369612002994,0.00193976733539893,"1"
"20","Guatemala",47.5886423,1496.343564,0.0906016831829511,46841910.2937458,45.8619590949761,0.00492029985433777,"1"
"21","Guinea",47.21394846,98.28548958,0.0059357003841083,20202111.7266427,3.3422776018629,0.000648562476100245,"1"
"22","Honduras",49.62899047,1144.808546,0.0798299979617873,35436693.6853603,42.2279127946916,0.00276181559459194,"1"
"23","India",63.79775131,1255.704127,0.0790057465801889,33064028.7964768,16.3602019607053,0.00297852334052476,"4"
"24","Indonesia",59.30161483,288.4772941,0.087728287745331,72043987.6401253,21.5361971254792,0.00524287686002187,"4"
"25","Israel",68.87929533,21093.20833,0.138501545187307,43039466.529547,81.7877586681239,0.0287145219341223,"3"
"26","Japan",44.71204462,16487.80529,0.0725609423340135,69835995.0020923,78.3826111271367,0.114226982519273,"4"
"27","Jordan",30.643428,2463.525316,0.0435599357490948,29616339.8821704,76.2808344450192,0.013914758650731,"1"
"28","Kenya",36.83373688,151.0185151,0.0160271985765231,22221182.4492849,18.9886687799517,0.00134995061006153,"1"
"29","Kuwait",0.942446083,39538.25,0.0969932104752667,81081036.8205626,1409.13471629486,0.216616197866149,"1"
"30","Lao_People's_Democratic_Republic",44.64062245,85.41593245,0.0143463150994966,35431295.0165007,44.0634003116613,0.000290765920081131,"1"
"31","Lebanon",52.06455319,11203.60305,0.0542994615303398,39621115.7856378,59.5054148328029,0.0189340563206082,"1"
"32","Madagascar",52.87974302,66.67929515,0.00119544607810525,24597171.6079872,13.4839254914843,0.000778239554919832,"1"
"33","Malawi",58.38160134,123.7184154,0.0161572881381481,29307953.1664168,4.31057633329424,0.000391336725892784,"1"
"34","Malaysia",56.40091379,1720.746146,0.0900111999096749,127503893.246083,13.9244532003639,0.00732229078297514,"4"
"35","Mauritania",36.19412837,3.215294118,0.0161114533478652,11513883.3200588,34.5465724494148,0.00166341562810975,"1"
"36","Mexico",49.60464179,2606.495219,0.0841271299593984,50382070.1878935,39.670369617761,0.00111698989263709,"4"
"37","Morocco",49.72109747,2152.145128,0.0213396175955999,18396230.8884327,5.74132049088299,0.00266121957695261,"4"
"38","Myanmar",51.85157828,77.39926601,0.0156293604727174,33511363.5213075,25.1140137362468,0.000290070007649473,"1"
"39","New_Zealand",41.63025949,4684.017893,0.120448630566831,100057435.07046,420.31565631477,0.0869540158674409,"2"
"40","Nicaragua",66.46626683,599.3262999,0.0278382759919433,32043555.1098957,68.7724915075063,0.000895351371808378,"1"
"41","Nigeria",53.14536398,438.0735897,0.00253489467238297,20907939.5510016,4.33162780401233,0.000307302899868295,"1"
"42","Norway",26.0885471,28586.34279,0.110915657979827,53835805.2569622,192.415959093595,0.0838798880102051,"1"
"43","Pakistan",37.06494661,586.9369811,0.122454205579771,37081195.6864759,37.1607519499555,0.00455931302918486,"4"
"44","Paraguay",46.56417709,283.4587156,0.00753078207171815,35867314.2919086,18.4546151577264,0.00094877069637528,"1"
"45","Philippines",57.47327435,500.0712329,0.0498065580333629,41732738.197316,20.4881965626982,0.00431141750540792,"4"
"46","Republic_of_Korea",42.44285959,19310.74902,0.10307234244621,71306337.1115379,66.0309751896239,0.0405086863218931,"1"
"47","Republic_of_Moldova",68.53050604,1472.068783,0.00164039789754427,26057712.3562304,24.6406278701414,0.000822902609315659,"1"
"48","Saudi_Arabia",19.17768956,3143.373114,0.0933683174396192,49936201.7795495,21.089549853934,0.0162452920212816,"1"
"49","South_Africa",41.66683332,2236.962571,0.065011837840411,50835455.3674701,11.4056709947921,0.00485595395522853,"4"
"50","Sri_Lanka",65.69102,1554.954967,0.0916237404424179,39579404.5033284,11.237305713579,0.00282001580832141,"1"
"51","Switzerland",38.9919807,34185.41365,0.174152942794214,89982555.9892018,383.138936180849,0.11232508323585,"1"
"52","Syrian_Arab_Republic",36.80208829,2505.335079,0.035968145267396,16560778.9478097,1.78968525128463,0.00264416332895839,"1"
"53","Thailand",45.89237119,1050.431159,0.0567101991727926,46338957.1722596,11.8887995982881,0.00171924899439069,"4"
"54","Togo",59.11386458,138.7488444,0.00529559564183746,17508974.6574876,8.38843724268475,0.000350565727355695,"1"
"55","Turkey",30.72251226,3180.367236,0.068772757201585,37324597.9471951,4.93737802913972,0.00859929833683236,"4"
"56","United_Republic_of_Tanzania",54.98337399,80.37956116,0.0048151001540832,21890411.3394742,10.5613881211479,0.000746844638118473,"1"
"57","United_States_of_America",66.67575229,12402.17048,0.0913788571837803,77673227.8376075,26.6536912323588,0.00603266955938684,"4"
"58","Uruguay",80.2172942,1782.148668,0.0714216269173528,44832830.0212021,67.0855920329362,0.00410787189727252,"1"
"59","Venezuela_(Bolivarian_Republic_of)",42.58360421,1633.390951,0.0791420856589418,52157111.3037581,105.477803118163,0.010217572634504,"1"
"60","Viet_Nam",60.10697341,652.5337752,0.101260045503716,58633052.6405156,26.483147296256,0.00132823976014871,"4"
"61","Zambia",47.430356,78.15617195,0.00996154658544932,23191891.3395015,9.10549677494929,0.00030766264300123,"1"
"62","Zimbabwe",43.40218694,52.95665025,0.0616466347929274,19344821.7253849,7.82098585377143,0.00326703692397079,"1"
"63","EU27",47.0027606,14327.10038,0.10043088488213,68168541.5309056,80.0780718957539,0.0180077556135544,"4"
"64","Iran_(Islamic_Republic_of)",25.27723093,2922.739502,0.0668032761353912,31790574.5158908,33.0926789708547,0.00378763671452706,"3"
"65","Russian_Federation",44.56338886,3011.235629,0.0217381181534549,27543443.271056,25.653803029707,0.00257822908120345,"3"
"66","Ukraine",63.11288305,2416.361874,0.0286397979253453,38989142.7791151,16.3111184783803,0.00192538897334814,"3"
"67","Uzbekistan",27.86891249,671.9470199,0.0849484395416773,62246551.7046456,114.768790598488,0.00347848867628489,"3"
"68","Belarus",45.19041603,4593.538774,0.118282120508678,45534821.2152409,79.3266128924325,0.0114298925189641,"2"
