ITEM;CALORIES(kcal)
CEREALS AND PRODUCTS;
WHEAT;334
FLOUR OF WHEAT;364
BRAN OF WHEAT;213
MACARONI;367
GERM OF WHEAT;382
BREAD;249
BULGUR WHOLEMEAL;345
PASTRY;369
WHEAT STARCH;362
WHEAT GLUTEN;380
RICE PADDY;280
RICE HUSKED;357
RICE MILLED;360
RICE BROKEN;360
RICE FLOUR;366
RICE GLUTEN;380
RICE STARCH;362
BRAN OF RICE;276
BARLEY;332
POT BARLEY;348
BARLEY PEARLED;346
BARLEY FLOUR AND GRITS;343
MALT OF BARLEY;368
MALT EXTRACTS;367
MAIZE;356
GERM OF MAIZE;373
FLOUR OF MAIZE;363
MAIZE GLUTEN;380
STARCH OF MAIZE;362
POP CORN;356
RYE;319
FLOUR OF RYE;341
OATS;385
OATS ROLLED;384
MILLET;340
FLOUR OF MILLET;340
SORGHUM;343
FLOUR OF SORGHM;343
BUCKWHEAT;330
FLOUR OF BUCKWHEAT;344
QUINOA;342
FONIO;338
FLOUR OF FONIO;355
TRITICALE;327
FLOUR OF TRITICALE;341
CANARY SEED;388
MIXED GRAIN;340
FLOUR OF MIXED GRAIN;364
CEREALS NES;340
WAFERS;439
FLOUR OF CEREALS;364
BREAKFAST CEREALS;389
CEREALS PREPARED NES;364
MIXES AND DOUGHS;393
FOOD PREPARATIONS FLOUR;377
ROOTS, TUBERS AND PRODUCTS;
POTATOES;67
FLOUR OF POTATOES;349
POTATOES FROZEN;73
POTATO STARCH;362
POTATO TAPIOCA;362
SWEET POTATOES;92
CASSAVA;109
FLOUR OF CASSAVA;338
CASSAVA TAPIOCA;362
CASSAVA DRIED;255
CASSAVA STARCH;362
YAUTIA (COCOYAM);109
TARO (COCOYAM);86
YAMS;101
ROOTS, TUBERS NES;91
FLOUR OF ROOTS AND TUBERS;282
ROOTS, TUBERS DRIED;282
SUGAR AND SYRUPS;
SUGAR CANE;30
SUGAR BEETS;70
SUGAR CROPS NES;390
SUGAR, CENTRIFUGAL RAW;373
SUGAR REFINED;387
SUGAR, NONCENTRIFUGAL;351
MOLASSES;232
MAPLE SUGAR;348
SUGAR AND SYRUP NES;310
SUGAR CONFECTIONERY;310
SUGARS FLAVOURED;310
GLUCOSE AND DEXTROSE;368
LACTOSE;387
ISOGLUCOSE;318
FRUCTOSE CHEMICAL;375
OTHER FRUCTOSE;298
MALTOSE CHEMICAL;375
HONEY;298
PULSES;
BEANS, DRY;341
BROAD BEANS DRY;343
PEAS, DRY;346
CHICK-PEAS;358
COW PEAS DRY;342
PIGEON PEAS;343
LENTILS;346
BAMBARA BEANS;365
VETCHES;325
LUPINS;390
PULSES NES;340
FLOUR OF PULSES;340
TREENUTS;
BRAZIL NUTS;315
CASHEW NUTS;252
CHESTNUTS;158
ALMONDS;236
WALNUTS;289
PISTACHIOS;289
KOLANUTS;349
HAZELNUTS;291
ARECANUTS;245
BRAZILNUT SHELLED;656
CASHEW NUTS SHELLED;574
ALMONDS SHELLED;589
WALNUTS SHELLED;642
HAZELNUTS SHELLED;632
NUTS NES;262
PREPARED NUTS;615
SOYBEANS;335
CAKE OF SOYA BEANS;261
SOYA SAUCE;56
SOYA PASTE;114
SOYA CURD;58
GROUNDNUTS IN SHELL;414
GROUNDNUTS SHELLED;567
CAKE OF GROUNDNUTS;363
GROUNDNUTS PREPARED;580
PEANUT BUTTER;589
COCONUTS;184
COCONUTS DESICCATED;660
COPRA;636
OIL PALM FRUIT;158
PALM KERNELS;514
OLIVES;175
OLIVES,PRESERVED;109
KARITE NUTS;579
SUNFLOWER SEED;308
RAPESEED;494
SAFFLOWER;314
SESAME SEED;573
CAKE OF SESAME SEED;376
MUSTARD SEED;469
FLOUR OF MUSTARD SEED;469
POPPY SEED;533
MELONSEED;400
COTTONSEED;253
LINSEED;498
OILSEEDS NES;387
FLOUR/MEAL OF OILSEEDS;393
VEGETABLES AND PRODUCTS;
CABBAGES;19
ARTICHOKES;20
ASPARAGUS;12
LETTUCE;12
SPINACH;16
CASSAVA LEAVES;53
TOMATOES;17
TOMATO JUICE;17
TOMATO JUICE CONCENTRATED;76
TOMATO PASTE;84
TOMATOES PEELED;19
CAULIFLOWER;9
PUMPKINS, SQUASH, GOURDS;19
CUCUMBERS, GHERINKS;13
EGGPLANTS;21
CHILLIES, PEPPERS,GREEN;25
ONIONS,SHALLOTS, GREEN;24
ONIONS, DRY;31
GARLIC;130
LEEKS;37
BEANS, GREEN;50
PEAS, GREEN;31
BROAD BEANS,GREEN;23
STRING BEANS;27
CARROTS;38
OKRA;31
GREEN CORN;56
SWEET CORN FROZEN;54
SWEET CORN PREPARED;77
MUSHROOMS;24
MUSHROOMS CANNED;24
MUSHROOMS DRIED;296
VEGETABLES NES FRESH;22
VEGETABLES NES DRIED;176
VEGETABLES NES CANNED;36
VEGETABLES NES JUICE;19
VEGETABLES DEHYDRATED;341
VEGETABLES PREPARED BY VINEGAR;29
VEGETABLES PREPARED NES;38
VEGETABLES FROZEN;71
VEGETABLES PROVISIONALLY PRESERVED;65
VEGETABLES PREPARED OR PRES.FROZEN;54
HOMOGENIZED VEGETABLES PREPARED;41
FRUITS AND PRODUCTS;
BANANAS;60
PLANTAINS;75
ORANGES;34
ORANGE JUICE;42
ORANGE JUICE CONCENTRATED;159
TANGERINES, MANDARINES, CLEMENTINES;32
TANGERINES JUICE;43
LEMONS AND LIMES;15
LEMON JUICE;22
LEMON JUICE CONCENTRATED;116
GRAPEFRUIT AND POMELO;16
GRAPEFRUIT JUICE;39
GRAPEFRUIT JUICE CONCENTRATED;146
CITRUS FRUIT NES;26
CITRUS FRUIT NES JUICE;47
FRUIT COOKED HOMOGENIZED;59
Dried fruits;
APRICOTS DRIED;238
PLUMS DRIED;208
RAISINS;299
FIGS DRIED;253
DATES;156
FRUIT TROPICAL NES DRIED;267
FRUIT NES DRIED;267
STIMULANTS;
COFFEE GREEN;47
COFFEE ROASTED;56
COFFEE SUBSTITUTES;56
COFFEE EXTRACTS;129
CHICORY ROOTS;60
COCOA BEANS;414
COCOA PASTE;472
COCOA BUTTER;711
COCOA POWDER;261
CHOCOLATE PRODUCTS NES;393
TEA;40
EXTRACT TEA;18
TEA NES;40
MATE;40
SPICES ;
PEPPER WHITE/LONG/BLACK;276
PIMENTO;318
CINNAMON;261
CLOVES;323
NUTMEG;525
ANISE;345
GINGER;347
SPICES NES;337
ALCOHOLIC BEVERAGES;
WHEAT FERMENTED BEVERAGE;60
RICE FERMENTED BEVERAGE;133
BEER BARLEY;49
BEER MAIZE;40
BEER MILLET;40
BEER SORGHUM;40
FERMENTED BEVERAGES, CIDER ETC.;47
MUST OF GRAPES;61
CITRUS FRUIT NES JUICE CONCENTRATED;157
APPLES;48
APPLES JUICE;47
APPLES JUICE CONCENTRATED;166
PEARS;54
QUINCES;35
APRICOTS;45
SOUR CHERRY;45
CHERRIES;65
PEACHES AND NECTARINES;33
PLUMS;52
PLUM JUICE;71
PLUM JUICE CONCENTRATED;215
STONE FRUIT NES;52
POME FRUIT NES;48
CAROBS;111
STRAWBERRIES;28
RASPBERRIES;47
GOOSEBERRIES;44
CURRANTS;59
BLUEBERRIES;55
CRANBERRIES;47
BERRIES NES;49
GRAPES;53
GRAPE JUICE;61
WATERMELONS;17
MELONS;17
FIGS;73
MANGOES;45
MANGO JUICE;62
MANGO PULP;65
AVOCADOS;119
PINEAPPLES;26
PINEAPPLES CANNED;78
PINEAPPLES JUICE;56
PINEAPPLES JUICE CONCENTRATED;179
PERSIMMONS;82
CASHEWAPPLE;43
KIWI;52
PAPAYAS;26
FRUIT TROPICAL NES;41
FRUIT NES FRESH;45
FRUIT NES JUICE;48
FRUIT NES PREPARED;36
FLOUR OF FRUIT;346
FRUIT,NUTS,FRUIT PEEL PRESERVED BY SUGAR;212
WINE;68
VERMOUTHS AND SIMILAR;137
BEVERAGES DIST. ALCOHOL;295
MEAT AND PRODUCTS;
BEEF BONELESS;150
BEEF DRIED SALTED SMOKED;203
MEAT EXTRACTS;238
BEEF SAUSAGES;313
BEEF PREPARATIONS;233
BEEF CANNED;233
HOMOGENIZED MEAT PREPARED;110
LIVER PREPARATIONS;315
OFFALS OF CATTLE;105
BUFFALO MEAT;77
OFFALS OF BUFFALO;105
MUTTON AND LAMB;263
OFFALS OF SHEEP;117
GOAT MEAT;123
OFFALS OF GOATS;117
PIGMEAT;326
PORK;220
BACON - HAM OF PIGS;362
PIG MEAT SAUSAGES;417
PIG MEAT PREPARATIONS;239
OFFALS OF PIGS;113
CHICKEN MEAT;122
CHICKEN MEAT CANNED;165
OFFAL OF CHICKENS;125
FAT LIVER PREPARATIONS;462
DUCK MEAT;291
OFFALS LIVER DUCKS;136
GOOSE MEAT;301
OFFALS LIVER GEESE;133
TURKEY MEAT;126
OFFALS LIVER TURKEYS;137
PIGEONS OTHER BIRDS;226
POULTRY MEAT;185
HORSEMEAT;85
OFFALS OF HORSES;105
MEAT OF ASSES;94
MEAT OF MULES;94
MEAT OF CAMELS;174
OFFALS OF CAMELS;105
RABBIT MEAT;118
MEAT OF OTHER RODENTS;81
MEAT OF OTHER CAMELIDS;143
OFFALS OF OTHER CAMELIDS;105
GAME MEAT;104
MEAT NES;126
MEAT NES DRIED;250
MEAT PREPARED NES;242
OFFALS NES;105
SNAILS NOT SEA;42
EGGS;
HEN EGGS;139
EGGS LIQUID HEN;158
EGGS DRY HEN;594
EGG ALBUMINE;49
EGGS EXCLUDING HEN EGGS;163
FISH AND FISHERIES PRODUCTS;
FRESHWATER DIADROMOUS FISH FRESH;69
FRESHWATER DIADROMOUS FISH FILLET;127
FRESHWATER DIADROMOUS FISH CURED;199
FRESHWATER DIADROMOUS FISH CANNED;161
FRESHWATER DIADROM. FISH PREPARED NES;262
DEMERSAL FISH FRESH;42
DEMERSAL FISH FILLET;90
DEMERSAL FISH CURED;186
DEMERSAL FISH CANNED;173
DEMERSAL FISH PREPARED NES;320
PELAGIC FISH FRESH;86
PELAGIC FISH FILLET;141
PELAGIC FISH CURED;156
PELAGIC FISH CANNED;185
PELAGIC FISH PREPARED NES;318
MARINE FISH NES FRESH;64
MARINE FISH NES FILLET;115
MARINE FISH NES CURED;169
MARINE FISH NES CANNED;179
MARINE FISH PREPARED NES;132
CRUSTACEANS FRESH;47
CRUSTACEANS FROZEN;91
CRUSTACEANS CURED;149
CRUSTACEANS CANNED;98
CRUSTACEANS PREPARED NES;113
MOLLUSCS FRESH;15
MOLLUSCS FROZEN;71
MOLLUSCS CURED;345
MOLLUSCS CANNED;98
CEPHALOPODS FRESH;66
CEPHALOPODS FROZEN;74
CEPHALOPODS CURED;341
CEPHALOPODS CANNED;137
CEPHALOPODS PREPARED NES;130
AQUATIC MAMMALS MEAT;136
AQUATIC MAMMALS PREPARED NES;156
AQUATIC ANIMALS NES FRESH;30
AQUATIC ANIMALS NES CURED;33
AQUATIC ANIMALS PREPARED NES;168
AQUATIC PLANTS;54
AQUATIC PLANTS DRIED;215
AQUATIC PLANTS PREPARED NES;312
MILK AND CHEESE;
COW MILK, WHOLE FRESH;61
STANDARDIZED MILK;48
CREAM, FRESH;195
WHOLE COW MILK EVAPORATED;134
WHOLE COW MILK CONDENSED;321
WHOLE COW MILK DRY;496
SKIM MILK OF COWS;35
SKIM MILK EVAPORATED;78
SKIM MILK CONDENSED;271
SKIM MILK DRY;362
BUTTERMILK CURDLED;75
BUTTERMILK DRY;387
YOGHURT;61
YOGHURT CONCENTRATED;82
RECONSTITUTED MILK;61
CHEESE WHOLE COW MILK;387
CHEESE SKIM COW MILK;247
WHEY CHEESE;72
PROCESSED CHEESE;103
WHEY FRESH;26
WHEY CONDENSED;26
WHEY DRY;346
CASEIN;427
BUFFALO MILK;97
SKIM MILK OF BUFFALO;41
CHEESE BUFFALO MILK;269
SHEEP MILK;94
CHEESE SHEEP MILK;310
SKIM MILK OF SHEEP;48
GOAT MILK;69
CHEESE GOAT MILK;280
SKIM MILK OF GOAT;35
CAMEL MILK;73
OILS AND FATS;
VEGETABLE OILS;
OIL OF RICE BRAN;884
OIL OF MAIZE;884
OIL OF SOYABEANS;884
OIL OF GROUNDNUTS;884
OIL OF COCONUTS;884
PALM OIL;884
OIL OF PALM KERNELS;884
OLIVE OIL;884
BUTTER OF KARITE NUTS;711
OIL OF CASTOR BEANS;884
OIL OF SUNFLOWER SEED;884
OIL OF RAPESEED;884
OIL OF OLIVE RESIDUES;884
TUNG OIL;884
OIL OF SAFFLOWER;884
OIL OF SESAME SEED;884
OIL OF MUSTARD SEED;884
OIL OF POPPY SEED;884
STILLINGIA OIL;884
OIL OF KAPOK;884
OIL OF COTTON SEED;884
OIL OF LINSEED;884
OIL OF HEMPSEED;884
OIL OF VEGETABLE ORIGIN NES;884
MARGARINE;720
OILS BOILED;902
OILS HYDROGENATED;720
ANIMALS FATS;
FAT OF CATTLE;847
CATTLE BUTCHER FAT;847
BUTTER OF COW MILK;717
GHEE FROM COW MILK;873
FAT OF BUFFALO;847
BUTTER OF BUFFALO MILK;717
GHEE FROM BUFFALO MILK;873
FAT OF SHEEP;902
BUTTER OF SHEEP MILK;716
FAT OF GOATS;847
BUTTER OF GOAT MILK;717
FAT OF PIGS;712
PIG BUTCHER FAT;712
LARD;902
FAT OF POULTRY;629
FAT OF POULTRY RENDERED;901
FAT OF CAMELS;847
FAT OF OTHER CAMELIDS;847
ANIMAL OILS AND FATS NES;902
TALLOW;884
FATS PREPARATION NES;720
FRESHWATER DIADROMOUS FISH BODY OIL;902
FRESHWATER DIADROMOUS FISH LIVER OIL;902
DEMERSAL FISH BODY OIL;902
DEMERSAL FISH LIVER OIL;902
PELAGIC FISH BODY OIL;902
PELAGIC FISH LIVER OIL;902
MARINE FISH NES BODY OIL;902
MARINE FISH L221NES LIVER OIL;902
AQUATIC MAMMALS OILS;902
MISCELLANOUS;
INFANT FOOD;368
BEVERAGES NON-ALCOHOLIC;39
ICE CREAM;149
FOOD PREPARATIONS;41
